paper_id,citation_key,arxiv_id,similarity_score,bib_title,ref_title
2210.16302,hagiwara2021grammartagger,2104.03190,1.0,"GrammarTagger: A Multilingual, Minimally-Supervised Grammar Profiler for Languag","GrammarTagger: A Multilingual, Minimally-Supervised Grammar Profiler for Languag"
2210.16302,devlin2018bert,1810.04805,1.0,Bert: Pre-training of deep bidirectional transformers for language understanding,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
2210.16305,Carena:2019une,1911.10206,0.9827586206896551,{Electroweak phase transition with spontaneous Z$_{2}$-breaking},Electroweak phase transition with spontaneous Z2-breaking
2210.16305,Auclair:2022jod,2205.02588,1.0,{Generation of gravitational waves from freely decaying turbulence},Generation of gravitational waves from freely decaying turbulence
2210.16305,ATLAS:2022vkf,2207.00092,1.0,{A detailed map of Higgs boson interactions by the ATLAS experiment ten years af,A detailed map of Higgs boson interactions by the ATLAS experiment ten years aft
2210.16305,CMS:2020cga,2003.10866,0.9863945578231292,{Measurements of $\mathrm{t\bar{t}}H$ Production and the CP Structure of the Yuk,"Measurements of 
tt¯H
 Production and the 
CP
 Structure of the Yukawa Interacti"
2210.16305,Baldes:2021aph,2110.13926,1.0,{Supercool Composite Dark Matter beyond 100 TeV},Supercool composite Dark Matter beyond 100 TeV
2210.16305,Chala:2018ari,1802.02168,1.0,{Signals of the electroweak phase transition at colliders and gravitational wave,Signals of the electroweak phase transition at colliders and gravitational wave 
2210.16305,Cohen:1993nk,hep-ph/9302210,1.0,{Progress in electroweak baryogenesis},Progress in electroweak baryogenesis
2210.16305,Kuzmin:1985mm,hep-ph/9603208,0.7241379310344828,{On the Anomalous Electroweak Baryon Number Nonconservation in the Early Univers,Electroweak baryon number non-conservation in the early Universe and in high-ene
2210.16305,Rubakov:1996vz,hep-ph/9603208,0.9946524064171123,{Electroweak baryon number nonconservation in the early universe and in high-ene,Electroweak baryon number non-conservation in the early Universe and in high-ene
2210.16305,Morrissey:2012db,1206.2942,1.0,{Electroweak baryogenesis},Electroweak baryogenesis
2210.16305,Dorsch:2014qpa,1403.5583,1.0,{Cosmological Signatures of a UV-Conformal Standard Model},Cosmological signatures of a UV-conformal standard model.
2210.16305,Jaeckel:2016jlh,1602.03901,1.0,{Hearing the signal of dark sectors with gravitational wave detectors},Hearing the signal of dark sectors with gravitational wave detectors
2210.16305,Jinno:2016knw,1604.05035,1.0,{Probing a classically conformal B-L model with gravitational waves},Probing a classically conformal B-L model with gravitational waves
2210.16305,Chala:2016ykx,1605.08663,1.0,{Unified explanation for dark matter and electroweak baryogenesis with direct de,Unified explanation for dark matter and electroweak baryogenesis with direct det
2210.16305,Chala:2018opy,1812.01901,1.0,{Gravitational wave and collider probes of a triplet Higgs sector with a low cut,Gravitational wave and collider probes of a triplet Higgs sector with a low cuto
2210.16305,Artymowski:2016tme,1609.07143,1.0,{Gravitational wave and collider implications of electroweak baryogenesis aided ,Gravitational wave and collider implications of electroweak baryogenesis aided b
2210.16305,Hashino:2016xoj,1609.00297,1.0,{Gravitational waves and Higgs boson couplings for exploring first order phase t,Gravitational waves and Higgs boson couplings for exploring first order phase tr
2210.16305,Vaskonen:2016yiu,1611.02073,1.0,{Electroweak baryogenesis and gravitational waves from a real scalar singlet},Electroweak baryogenesis and gravitational waves from a real scalar singlet
2210.16305,Beniwal:2017eik,1702.06124,1.0,"{Gravitational wave, collider and dark matter signals from a scalar singlet elec","Gravitational wave, collider and dark matter signals from a scalar singlet elect"
2210.16305,Baldes:2017rcu,1702.02117,1.0,{Gravitational waves from the asymmetric-dark-matter generating phase transition,Gravitational waves from the asymmetric-dark-matter generating phase transition
2210.16305,Marzola:2017jzl,1704.01034,1.0,{Phase transition and gravitational wave phenomenology of scalar conformal exten,Phase transition and gravitational wave phenomenology of scalar conformal extens
2210.16305,Iso:2017uuu,1704.04955,1.0,{QCD-Electroweak First-Order Phase Transition in a Supercooled Universe},QCD-Electroweak First-Order Phase Transition in a Supercooled Universe.
2210.16305,Bruggisser:2018mrt,1804.07314,1.0,{Electroweak Phase Transition and Baryogenesis in Composite Higgs Models},Electroweak phase transition and baryogenesis in composite Higgs models
2210.16305,Megias:2018sxv,1806.04877,1.0,{Cosmological Phase Transitions in Warped Space: Gravitational Waves and Collide,Cosmological phase transitions in warped space: gravitational waves and collider
2210.16305,Croon:2018erz,1806.02332,1.0,{Model Discrimination in Gravitational Wave spectra from Dark Phase Transitions},Model discrimination in gravitational wave spectra from dark phase transitions
2210.16305,Alves:2018jsw,1812.09333,1.0,{Collider and Gravitational Wave Complementarity in Exploring the Singlet Extens,Collider and gravitational wave complementarity in exploring the singlet extensi
2210.16305,Baratella:2018pxi,1812.06996,1.0,{The Supercooled Universe},The supercooled universe
2210.16305,Angelescu:2018dkk,1812.08293,1.0,{Multistep Strongly First Order Phase Transitions from New Fermions at the TeV S,Multistep strongly first order phase transitions from new fermions at the TeV sc
2210.16305,Croon:2018kqn,1812.02747,1.0,{Gravitational Waves from a Pati-Salam Phase Transition},Gravitational waves from a Pati-Salam phase transition
2210.16305,Haller:2018nnx,1803.01853,1.0,{Update of the global electroweak fit and constraints on two-Higgs-doublet model,Update of the global electroweak fit and constraints on two-Higgs-doublet models
2210.16305,Brdar:2018num,1909.10040,0.7120418848167539,{Gravitational Waves from First-Order Phase Transitions: LIGO as a Window to Une,Gravitational waves from first order cosmological phase transitions in the Sound
2210.16305,Beniwal:2018hyi,1810.02380,1.0,{Gravitational waves and electroweak baryogenesis in a global study of the exten,Gravitational waves and electroweak baryogenesis in a global study of the extend
2210.16305,Breitbach:2018ddu,1811.11175,1.0,"{Dark, Cold, and Noisy: Constraining Secluded Hidden Sectors with Gravitational ","Dark, cold, and noisy: constraining secluded hidden sectors with gravitational w"
2210.16305,Marzo:2018nov,1811.11169,0.9933774834437086,{Phase transition and vacuum stability in the classically conformal B\textendash,Phase transition and vacuum stability in the classically conformal B–L model
2210.16305,Baldes:2018emh,1809.01198,1.0,{Strong gravitational radiation from a simple dark matter model},Strong gravitational radiation from a simple dark matter model
2210.16305,Prokopec:2018tnq,1809.11129,1.0,{Gravitational waves from conformal symmetry breaking},Gravitational waves from conformal symmetry breaking
2210.16305,Fairbairn:2019xog,1901.11038,1.0,{Hearing without seeing: gravitational waves from hot and cold hidden sectors},Hearing without seeing: gravitational waves from hot and cold hidden sectors
2210.16305,Helmboldt:2019pan,1904.07891,1.0,{Observational prospects for gravitational waves from hidden or dark chiral phas,Observational prospects for gravitational waves from hidden or dark chiral phase
2210.16305,Dev:2019njv,1909.10040,0.73224043715847,{Gravitational Waves from First-Order Phase Transition in a Simple Axion-Like Pa,Gravitational waves from first order cosmological phase transitions in the Sound
2210.16305,Ellis:2019flb,1905.11994,1.0,{Electroweak Baryogenesis from Temperature-Varying Couplings},Electroweak baryogenesis from temperature-varying couplings
2210.16305,Jinno:2019bxw,1906.02588,0.9885057471264368,{Relativistic bubble collisions\textemdash{}a closer look},Relativistic bubble collisions—a closer look
2210.16305,Ellis:2019tjf,1907.04315,1.0,{Intergalactic Magnetic Fields from First-Order Phase Transitions},Intergalactic magnetic fields from first-order phase transitions
2210.16305,vonHarling:2019gme,1912.07587,1.0,{Peccei-Quinn Phase Transition at LIGO},Peccei-Quinn phase transition at LIGO
2210.16305,DelleRose:2019pgi,1912.06139,1.0,{Gravitational Waves from Supercool Axions},Gravitational waves from supercool axions
2210.16305,Mancha:2020fzw,2005.10875,1.0,{Field-theoretic derivation of bubble-wall force},Field-theoretic derivation of bubble-wall force
2210.16305,Vanvlasselaer:2020niz,2010.02590,1.0,{Bubble wall velocity: heavy physics effects},Bubble wall velocity: heavy physics effects
2210.16305,Giese:2020znk,2010.09744,1.0,{Model-independent energy budget for LISA},Model-independent energy budget for LISA
2210.16305,Hoeche:2020rsg,2007.10343,1.0,{Towards an all-orders calculation of the electroweak bubble wall velocity},Towards an all-orders calculation of the electroweak bubble wall velocity
2210.16305,Croon:2020cgk,2009.10080,1.0,{Theoretical uncertainties for cosmological first-order phase transitions},Theoretical uncertainties for cosmological first-order phase transitions
2210.16305,Ares:2020lbt,2011.12878,1.0,{Gravitational waves from a holographic phase transition},Gravitational waves from a holographic phase transition
2210.16305,Cai:2020djd,2011.11451,1.0,{Effective picture of bubble expansion},Effective picture of bubble expansion
2210.16305,Bigazzi:2020avc,2011.08757,1.0,{Dark Holograms and Gravitational Waves},Dark holograms and gravitational waves
2210.16305,Wang:2020zlf,2011.12903,1.0,{Bubble wall velocity beyond leading-log approximation in electroweak phase tran,Bubble wall velocity beyond leading-log approximation in electroweak phase trans
2210.16305,Caprini:2015zlo,1512.06239,1.0,{Science with the space-based interferometer eLISA. II: Gravitational waves from,Science with the space-based interferometer eLISA. II: gravitational waves from 
2210.16305,Caprini:2019egz,1910.13125,1.0,{Detecting gravitational waves from cosmological phase transitions with LISA: an,Detecting gravitational waves from cosmological phase transitions with LISA: an 
2210.16305,Cutting:2018tjt,1909.10040,0.7096774193548387,{Gravitational waves from vacuum first-order phase transitions: from the envelop,Gravitational waves from first order cosmological phase transitions in the Sound
2210.16305,Ellis:2019oqb,1903.09642,1.0,{Gravitational wave energy budget in strongly supercooled phase transitions},Gravitational wave energy budget in strongly supercooled phase transitions
2210.16305,Lewicki:2019gmv,2208.11697,0.7607361963190185,{On bubble collisions in strongly supercooled phase transitions},Gravitational waves from bubble collisions and fluid motion in strongly supercoo
2210.16305,Cutting:2020nla,1909.10040,0.7071823204419889,{Gravitational waves from vacuum first order phase transitions II: from thin to ,Gravitational waves from first order cosmological phase transitions in the Sound
2210.16305,Lewicki:2020jiv,2007.04967,1.0,{Gravitational wave spectra from strongly supercooled phase transitions},Gravitational wave spectra from strongly supercooled phase transitions
2210.16305,Ellis:2020nnr,1903.09642,0.7455621301775148,{Updated predictions for gravitational waves produced in a strongly supercooled ,Gravitational wave energy budget in strongly supercooled phase transitions
2210.16305,Kamionkowski:1993fg,astro-ph/9310044,1.0,{Gravitational radiation from first order phase transitions},Gravitational radiation from first-order phase transitions.
2210.16305,Hindmarsh:2015qta,1504.03291,1.0,{Numerical simulations of acoustically generated gravitational waves at a first ,Numerical simulations of acoustically generated gravitational waves at a first o
2210.16305,Hindmarsh:2016lnk,1608.04735,1.0,{Sound shell model for acoustic gravitational wave production at a first-order p,Sound Shell Model for Acoustic Gravitational Wave Production at a First-Order Ph
2210.16305,Hindmarsh:2017gnf,1704.05871,1.0,{Shape of the acoustic gravitational wave power spectrum from a first order phas,Shape of the acoustic gravitational wave power spectrum from a first order phase
2210.16305,Ellis:2018mja,1809.08242,1.0,{On the Maximal Strength of a First-Order Electroweak Phase Transition and its G,On the maximal strength of a first-order electroweak phase transition and its gr
2210.16305,Hindmarsh:2019phv,1909.10040,1.0,{Gravitational waves from first order cosmological phase transitions in the Soun,Gravitational waves from first order cosmological phase transitions in the Sound
2210.16305,Ellis:2020awk,2003.07360,1.0,{Gravitational waves from first-order cosmological phase transitions: lifetime o,Gravitational waves from first-order cosmological phase transitions: lifetime of
2210.16305,Dine:1992wr,hep-ph/9203203,1.0,{Towards the theory of the electroweak phase transition},Towards the theory of the electroweak phase transition.
2210.16305,Moore:1995ua,hep-ph/9503296,1.0,{Bubble wall velocity in a first order electroweak phase transition},Bubble wall velocity in a first order electroweak phase transition.
2210.16305,Espinosa:2010hh,1004.4187,1.0,{Energy Budget of Cosmological First-order Phase Transitions},Energy budget of cosmological first-order phase transitions
2210.16305,Enqvist:1991xw,hep-ph/9503296,0.7189542483660131,{Nucleation and bubble growth in a first order cosmological electroweak phase tr,Bubble wall velocity in a first order electroweak phase transition.
2210.16305,Moore:1995si,hep-ph/9506475,1.0,{How fast can the wall move? A Study of the electroweak phase transition dynamic,How fast can the wall move? A study of the electroweak phase transition dynamics
2210.16305,Konstandin:2014zta,1407.3132,1.0,{From Boltzmann equations to steady wall velocities},From Boltzmann equations to steady wall velocities
2210.16305,Kozaczuk:2015owa,1506.04741,1.0,{Bubble Expansion and the Viability of Singlet-Driven Electroweak Baryogenesis},Bubble expansion and the viability of singlet-driven electroweak baryogenesis
2210.16305,Bodeker:2009qy,0903.4099,1.0,{Can electroweak bubble walls run away?},Can electroweak bubble walls run away
2210.16305,Bodeker:2017cim,1703.08215,1.0,{Electroweak Bubble Wall Speed Limit},Electroweak bubble wall speed limit
2210.16305,Megevand:2009gh,0903.4099,0.7123287671232876,{Velocity of electroweak bubble walls},Can electroweak bubble walls run away
2210.16305,Huber:2013kj,1302.1044,1.0,{An efficient approach to electroweak bubble velocities},An efficient approach to electroweak bubble velocities
2210.16305,Fromme:2006wx,hep-ph/9302210,0.8051948051948052,{Top transport in electroweak baryogenesis},Progress in electroweak baryogenesis
2210.16305,Cline:2020jre,2001.00568,1.0,{Electroweak baryogenesis at high bubble wall velocities},Electroweak baryogenesis at high bubble wall velocities
2210.16305,Laurent:2020gpg,2007.10935,1.0,{Fluid equations for fast-moving electroweak bubble walls},Fluid equations for fast-moving electroweak bubble walls
2210.16305,Saikawa:2018rcs,1803.01038,1.0,"{Primordial gravitational waves, precisely: The role of thermodynamics in the St","Primordial gravitational waves, precisely: the role of thermodynamics in the Sta"
2210.16305,Cline:2021iff,2102.12490,1.0,{Baryogenesis and gravity waves from a UV-completed electroweak phase transition,Baryogenesis and gravity waves from a UV-completed electroweak phase transition
2210.16305,Friedlander:2020tnq,2009.14295,1.0,{Wall speed and shape in singlet-assisted strong electroweak phase transitions},Wall speed and shape in singlet-assisted strong electroweak phase transitions
2210.16305,Cline:2000nw,hep-ph/9907460,1.0,{Supersymmetric electroweak baryogenesis},Supersymmetric electroweak baryogenesis
2210.16305,Wainwright:2011kj,1109.4189,1.0,{CosmoTransitions: Computing Cosmological Phase Transition Temperatures and Bubb,CosmoTransitions: Computing cosmological phase transition temperatures and bubbl
2210.16305,Espinosa:1993bs,hep-ph/9301285,1.0,{The Electroweak phase transition with a singlet},The electroweak phase transition with a singlet
2210.16305,Profumo:2007wc,0705.2425,1.0,{Singlet Higgs phenomenology and the electroweak phase transition},Singlet Higgs phenomenology and the electroweak phase transition
2210.16305,Espinosa:2011ax,1107.5441,1.0,{Strong Electroweak Phase Transitions in the Standard Model with a Singlet},Strong electroweak phase transitions in the Standard Model with a singlet
2210.16305,Curtin:2014jma,1409.0005,1.0,{Testing Electroweak Baryogenesis with Future Colliders},Testing electroweak baryogenesis with future colliders
2210.16305,Cline:2012hg,1210.4196,1.0,{Electroweak baryogenesis and dark matter from a singlet Higgs},Electroweak baryogenesis and dark matter from a singlet Higgs
2210.16305,Lewicki:2020azd,2012.07826,0.9241379310344827,{Gravitational waves from colliding vacuum bubbles in gauge theories},Erratum to: Gravitational waves from colliding vacuum bubbles in gauge theories
2210.16305,RoperPol:2019wvy,1903.08585,1.0,{Numerical simulations of gravitational waves from early-universe turbulence},Numerical simulations of gravitational waves from early-universe turbulence
2210.16305,Kahniashvili:2020jgm,2011.05556,1.0,{Circular polarization of gravitational waves from early-Universe helical turbul,Circular polarization of gravitational waves from early-Universe helical turbule
2210.16305,Pol:2021uol,2107.05356,1.0,{Polarization of gravitational waves from helical MHD turbulent sources},Polarization of gravitational waves from helical MHD turbulent sources
2210.16305,Jinno:2020eqg,2010.00971,1.0,{A hybrid simulation of gravitational wave production in first-order phase trans,A hybrid simulation of gravitational wave production in first-order phase transi
2210.16305,Gowling:2021gcy,2106.05984,1.0,{Observational prospects for phase transitions at LISA: Fisher matrix analysis},Observational prospects for phase transitions at LISA: Fisher matrix analysis
2210.16305,Hindmarsh:2013xza,1304.2433,1.0,{Gravitational waves from the sound of a first order phase transition},Gravitational waves from the sound of a first order phase transition.
2210.16305,Guo:2020grp,2007.08537,1.0,{Phase Transitions in an Expanding Universe: Stochastic Gravitational Waves in S,Phase transitions in an expanding universe: stochastic gravitational waves in st
2210.16305,Thrane:2013oya,1310.5300,1.0,{Sensitivity curves for searches for gravitational-wave backgrounds},Sensitivity curves for searches for gravitational-wave backgrounds
2210.16305,LIGOScientific:2016fpe,1602.03847,1.0,{GW150914: Implications for the stochastic gravitational wave background from bi,GW150914: Implications for the Stochastic Gravitational-Wave Background from Bin
2210.16305,LIGOScientific:2019vic,1903.02886,0.9949238578680203,{Search for the isotropic stochastic background using data from Advanced LIGO\te,Search for the isotropic stochastic background using data from Advanced LIGO’s s
2210.16305,Bartolo:2016ami,1610.06481,1.0,{Science with the space-based interferometer LISA. IV: Probing inflation with gr,Science with the space-based interferometer LISA. IV: probing inflation with gra
2210.16305,Caprini:2019pxz,1906.09244,1.0,{Reconstructing the spectral shape of a stochastic gravitational wave background,Reconstructing the spectral shape of a stochastic gravitational wave background 
2210.16305,Punturo:2010zz,1012.0908,0.7862068965517242,{The Einstein Telescope: A third-generation gravitational wave observatory},Sensitivity studies for third-generation gravitational wave observatories
2210.16305,Hild:2010id,1012.0908,1.0,{Sensitivity Studies for Third-Generation Gravitational Wave Observatories},Sensitivity studies for third-generation gravitational wave observatories
2210.16305,AEDGE:2019nxb,1908.00802,1.0,{AEDGE: Atomic Experiment for Dark Matter and Gravity Exploration in Space},AEDGE: Atomic Experiment for Dark Matter and Gravity Exploration in Space
2210.16305,Badurina:2019hst,1911.11755,1.0,{AION: An Atom Interferometer Observatory and Network},AION: an atom interferometer observatory and network
2210.16305,Weinberg:1973am,hep-th/0507214,1.0,{Radiative corrections as the origin of spontaneous symmetry breaking},Radiative Corrections as the Origin of Spontaneous Symmetry Breaking
2210.16305,Kobakhidze:2015xlz,1110.2876,0.7521367521367521,{Electroweak Baryogenesis with Anomalous Higgs Couplings},Electroweak Baryogenesis in Non-minimal Composite Higgs Models
2210.16305,Grojean:2004xa,1107.5441,0.8366013071895425,{First-order electroweak phase transition in the standard model with a low cutof,Strong electroweak phase transitions in the Standard Model with a singlet
2210.16305,Badurina:2021rgt,2108.02468,1.0,{Prospective Sensitivities of Atom Interferometers to Gravitational Waves and Ul,Prospective sensitivities of atom interferometers to gravitational waves and ult
2210.16305,Dine:1990fj,hep-ph/9203203,0.7226890756302521,{Creating the baryon asymmetry at the electroweak phase transition},Towards the theory of the electroweak phase transition.
2210.16305,Konstandin:2010dm,1011.3735,1.0,{Hydrodynamic obstruction to bubble expansion},Hydrodynamic obstruction to bubble expansion
2210.16305,BarrosoMancha:2020fay,2005.10875,1.0,{Field-theoretic derivation of bubble-wall force},Field-theoretic derivation of bubble-wall force
2210.16305,Balaji:2020yrx,2010.08013,1.0,{Cosmological bubble friction in local equilibrium},Cosmological bubble friction in local equilibrium
2210.16305,Ai:2021kak,2109.13710,1.0,{Bubble wall velocities in local equilibrium},Bubble wall velocities in local equilibrium
2210.16305,Azatov:2020ufh,2010.02590,1.0,{Bubble wall velocity: heavy physics effects},Bubble wall velocity: heavy physics effects
2210.16305,Hoche:2020ysm,2007.10343,1.0,{Towards an all-orders calculation of the electroweak bubble wall velocity},Towards an all-orders calculation of the electroweak bubble wall velocity
2210.16305,Niemi:2021qvp,hep-ph/9605288,0.7090909090909091,{Singlet-assisted electroweak phase transition at two loops},Is There a Hot Electroweak Phase Transition at mH >~ mW?
2210.16305,Dorsch:2021nje,2112.12548,1.0,{A sonic boom in bubble wall friction},A sonic boom in bubble wall friction
2210.16305,Lewicki:2022pdb,2208.11697,1.0,{Gravitational waves from bubble collisions and fluid motion in strongly superco,Gravitational waves from bubble collisions and fluid motion in strongly supercoo
2210.16305,Alves:2020bpi,2007.15654,1.0,{Di-Higgs Blind Spots in Gravitational Wave Signals},Di-Higgs blind spots in gravitational wave signals
2210.16305,Lewicki:2021pgr,2111.02393,1.0,{Electroweak bubble wall expansion: gravitational waves and baryogenesis in Stan,Electroweak bubble wall expansion: gravitational waves and baryogenesis in Stand
2210.16305,Bagnaschi:2022whn,2204.05260,0.9523809523809523,{SMEFT analysis of m$_{W}$},SMEFT analysis of mW
2210.16305,Wu:2019jxj,1911.03015,0.9580838323353293,{The metastable Q $^3\Delta_2$ state of ThO: a new resource for the ACME electro,The metastable Q 3Δ2 state of ThO: a new resource for the ACME electron EDM sear
2210.16305,Zhou:2022mlz,2203.01561,1.0,{Electroweak phase transition and gravitational waves in the type-II seesaw mode,Electroweak phase transition and gravitational waves in the type-II seesaw model
2210.16305,Espinosa:2011eu,1110.2876,1.0,{Electroweak Baryogenesis in Non-minimal Composite Higgs Models},Electroweak Baryogenesis in Non-minimal Composite Higgs Models
2210.16305,CMS:2018amk,1804.01939,1.0,{Search for a new scalar resonance decaying to a pair of Z bosons in proton-prot,Search for a new scalar resonance decaying to a pair of Z bosons in proton-proto
2210.16305,Brzeminski:2022haa,2203.13842,1.0,{Precision Early Universe Cosmology from Stochastic Gravitational Waves},Precision early universe cosmology from stochastic gravitational waves
2210.16305,Yang:2022ghc,2204.00799,1.0,{Gravitational-wave signatures of chiral-symmetric technicolor},Gravitational-wave signatures of chiral-symmetric technicolor
2210.16305,CMS:2022dwd,2207.00043,1.0,{A portrait of the Higgs boson by the CMS experiment ten years after the discove,A portrait of the Higgs boson by the CMS experiment ten years after the discover
2210.16305,Robens:2015gla,1501.02234,1.0,{Status of the Higgs Singlet Extension of the Standard Model after LHC Run 1},Status of the Higgs singlet extension of the standard model after LHC run 1
2210.16305,Azatov:2019png,1910.01124,1.0,{Gravitational traces of broken gauge symmetries},Gravitational traces of broken gauge symmetries
2210.16305,Azatov:2022tii,2207.02230,1.0,{Ultra-relativistic bubbles from the simplest Higgs portal and their cosmologica,Ultra-relativistic bubbles from the simplest Higgs portal and their cosmological
2210.16305,Kajantie:1996mn,hep-ph/9605288,0.9203539823008849,{Is there a~ hot electroweak phase transition at $m_H \gtrsim m_W$?},Is There a Hot Electroweak Phase Transition at mH >~ mW?
2210.16305,Wang:2022txy,2205.02492,1.0,{Hydrodynamic backreaction force of cosmological bubble expansion},Hydrodynamic backreaction force of cosmological bubble expansion
2210.16305,Laurent:2022jrs,2204.13120,1.0,{First principles determination of bubble wall velocity},First principles determination of bubble wall velocity
2210.16305,Kainulainen:2021oqs,2108.08336,1.0,{CP-violating transport theory for electroweak baryogenesis with thermal correct,CP-violating transport theory for electroweak baryogenesis with thermal correcti
2210.16305,Postma:2022dbr,2206.01120,1.0,{Resummation and cancellation of the VIA source in electroweak baryogenesis},Resummation and cancellation of the VIA source in electroweak baryogenesis
2210.16305,DeCurtis:2022hlx,2201.08220,1.0,{Bubble wall dynamics at the electroweak phase transition},Bubble wall dynamics at the electroweak phase transition
2210.16305,Keus:2017ioh,1712.09613,0.9765258215962441,{Singlet scalar and 2HDM extensions of the Standard Model: CP-violation and cons,Singlet scalar and 2HDM extensions of the Standard Model: CP-violation and const
2210.16305,ATLAS:2014wva,1403.4427,1.0,{First combination of Tevatron and LHC measurements of the top-quark mass},First combination of Tevatron and LHC measurements of the top-quark mass
2210.16305,Barger:2007im,0706.4311,0.9673202614379085,{LHC Phenomenology of an Extended Standard Model with a Real Scalar Singlet},CERN LHC phenomenology of an extended standard model with a real scalar singlet
2210.16305,Noble:2007kk,0711.3018,0.96875,{Higgs self-coupling as a probe of electroweak phase transition},Higgs self-coupling as a probe of the electroweak phase transition
2210.16305,He:2009yd,0912.4722,1.0,"{The Simplest Dark-Matter Model, CDMS II Results, and Higgs Detection at LHC}","The simplest dark-matter model, CDMS II results, and Higgs detection at LHC"
2210.16305,Gonderinger:2009jp,0910.3167,1.0,"{Vacuum Stability, Perturbativity, and Scalar Singlet Dark Matter}","Vacuum stability, perturbativity, and scalar singlet dark matter"
2210.16305,Cline:2013gha,1306.4710,1.0,{Update on scalar singlet dark matter},Update on scalar singlet dark matter
2210.16305,No:2013wsa,1310.6035,1.0,{Probing the Higgs Portal at the LHC Through Resonant di-Higgs Production},Probing the Higgs Portal at the LHC Through Resonant di-Higgs Production
2210.16305,Croon:2018new,1803.05438,1.0,{Exotic Gravitational Wave Signatures from Simultaneous Phase Transitions},Exotic gravitational wave signatures from simultaneous phase transitions
2210.16305,Alves:2019igs,1909.05268,1.0,{Di-Higgs Production in the $4b$ Channel and Gravitational Wave Complementarity},Di-Higgs production in the 4b channel and gravitational wave complementarity
2210.16305,Alves:2018oct,1808.08974,1.0,{Resonant Di-Higgs Production at Gravitational Wave Benchmarks: A Collider Study,Resonant di-Higgs production at gravitational wave benchmarks: a collider study 
2210.16305,scikit-learn,1201.0490,1.0,Scikit-learn: Machine Learning in {P}ython,Scikit-learn: Machine Learning in Python
2210.16305,Huang:2017jws,1701.04442,0.9861751152073732,{Resonant di-Higgs boson production in the $b{\bar b}WW$ channel: Probing the el,Resonant di-Higgs boson production in the b¯bWW channel: Probing the electroweak
2210.16305,Cline:2021dkf,2108.04249,1.0,{Electroweak baryogenesis from light fermion sources: A critical study},Electroweak baryogenesis from light fermion sources: A critical study
2210.16305,Riotto:1995hh,hep-ph/9510271,1.0,{Towards a nonequilibrium quantum field theory approach to electroweak baryogene,Towards a nonequilibrium quantum field theory approach to electroweak baryogenes
2210.16305,Riotto:1997vy,hep-ph/9712221,0.9949748743718593,"{Supersymmetric electroweak baryogenesis, nonequilibrium field theory and quantu","Supersymmetric electroweak baryogenesis, non-equilibrium field theory and quantu"
2210.16305,Joyce:1994fu,hep-ph/9408339,1.0,{Electroweak baryogenesis from a classical force},Electroweak Baryogenesis from a Classical Force.
2210.16305,Joyce:1994zt,hep-ph/9408339,0.7222222222222222,{Nonlocal electroweak baryogenesis. Part 2: The Classical regime},Electroweak Baryogenesis from a Classical Force.
2210.16305,Ghorbani:2021rgs,2104.09542,1.0,{Vacuum stability vs. positivity in real singlet scalar extension of the standar,Vacuum stability vs. positivity in real singlet scalar extension of the standard
2210.16305,Casas:1994us,hep-ph/9407389,1.0,{The Lightest Higgs boson mass in the minimal supersymmetric standard model},The lightest Higgs boson mass in the Minimal Supersymmetric Standard Model
2210.16308,2021CQGra..38d5002R,2008.13740,1.0,{Determination of the light exposure on the photodiodes of a new instrumented ba,Determination of the light exposure on the photodiodes of a new instrumented baf
